Scenario_ID,Scenario_Type,Inject_Type,Risk_Level,MTTR_Range,Exposure_Confirmed,Patch_Available,Notes,Inject_Complexity
053,Missing Exposure Variant 3,Missing Field,Medium,15-30,Pending,,Simulates Missing Exposure Variant 3 scenario with variable outcomes,Moderate
054,Late Patch Deployment Variant 3,Partial Data,Low,15-30,No,Unknown,Simulates Late Patch Deployment Variant 3 scenario with variable outcomes,Moderate
055,Red Team Simulation Variant 1,Possible Noise,High,20-45,Pending,Unknown,Simulates Red Team Simulation Variant 1 scenario with variable outcomes,Basic
056,Email Bounce Variant 1,Missing Field,Medium,5-10,No,Yes,Simulates Email Bounce Variant 1 scenario with variable outcomes,Advanced
057,Conflicting Data Sources Variant 1,Partial Data,Critical,10-20,Pending,No,Simulates Conflicting Data Sources Variant 1 scenario with variable outcomes,Extreme
058,Formatting Chaos Variant 1,Duplicate Entry,Critical,5-10,Yes,,Simulates Formatting Chaos Variant 1 scenario with variable outcomes,Basic
059,Repeated SLA Breaches Variant 3,Special Context,Medium,10-20,,,Simulates Repeated SLA Breaches Variant 3 scenario with variable outcomes,Advanced
060,Unknown Patch Status Variant 1,Format Error,Medium,20-45,Pending,Unknown,Simulates Unknown Patch Status Variant 1 scenario with variable outcomes,Extreme
061,Formatting Chaos Variant 1 Variant 3,Timing Issue,Medium,30-60,Pending,,Simulates Formatting Chaos Variant 1 Variant 3 scenario with variable outcomes,Basic
062,Unexpected LOB Assignment Variant 2,Timing Issue,Critical,20-45,,No,Simulates Unexpected LOB Assignment Variant 2 scenario with variable outcomes,Extreme
063,Manual Verification Needed Variant 2,Special Context,Medium,30-60,Pending,,Simulates Manual Verification Needed Variant 2 scenario with variable outcomes,Basic
064,Threat Feed Conflict Variant 1,Escalation Required,High,10-20,No,,Simulates Threat Feed Conflict Variant 1 scenario with variable outcomes,Advanced
065,Risk Spike Detected Variant 3,Escalation Required,Low,10-20,Yes,Yes,Simulates Risk Spike Detected Variant 3 scenario with variable outcomes,Basic
066,Threat Actor Mention Variant 1,Escalation Required,Critical,10-20,,No,Simulates Threat Actor Mention Variant 1 scenario with variable outcomes,Moderate
067,Inactive Vendor Variant 2,Timing Issue,Medium,10-20,No,No,Simulates Inactive Vendor Variant 2 scenario with variable outcomes,Basic
068,Log Injection Detected Variant 3,Escalation Required,Medium,15-30,No,,Simulates Log Injection Detected Variant 3 scenario with variable outcomes,Moderate
069,Threat Actor Mention Variant 3,Format Error,Low,30-60,Yes,Yes,Simulates Threat Actor Mention Variant 3 scenario with variable outcomes,Moderate
070,Extra Fields Present Variant 3,Missing Field,Critical,15-30,No,Unknown,Simulates Extra Fields Present Variant 3 scenario with variable outcomes,Extreme
071,Extra Fields Present Variant 3 Variant 3,Possible Noise,Medium,20-45,Yes,Unknown,Simulates Extra Fields Present Variant 3 Variant 3 scenario with variable outcomes,Moderate
072,Outdated Info Variant 1,Normal,High,30-60,Yes,,Simulates Outdated Info Variant 1 scenario with variable outcomes,Basic
073,Email Bounce Variant 1 Variant 1,Special Context,Medium,30-60,No,No,Simulates Email Bounce Variant 1 Variant 1 scenario with variable outcomes,Advanced
074,Same Day CVE Flood Variant 1,Format Error,Low,10-20,Yes,,Simulates Same Day CVE Flood Variant 1 scenario with variable outcomes,Extreme
075,Threat Actor Mention Variant 3 Variant 2,Special Context,Medium,20-45,Pending,Yes,Simulates Threat Actor Mention Variant 3 Variant 2 scenario with variable outcomes,Moderate
076,Late Patch Deployment Variant 3 Variant 2,Timing Issue,Critical,10-20,,No,Simulates Late Patch Deployment Variant 3 Variant 2 scenario with variable outcomes,Extreme
077,Abnormal Port Access Variant 2,Special Context,Medium,15-30,Yes,Yes,Simulates Abnormal Port Access Variant 2 scenario with variable outcomes,Extreme
078,Abnormal Port Access Variant 2 Variant 2,Escalation Required,High,10-20,Pending,No,Simulates Abnormal Port Access Variant 2 Variant 2 scenario with variable outcomes,Moderate
079,Formatting Chaos Variant 3,Format Error,Low,10-20,Yes,Unknown,Simulates Formatting Chaos Variant 3 scenario with variable outcomes,Extreme
080,Fake Positive Variant 2,Timing Issue,Low,20-45,Yes,,Simulates Fake Positive Variant 2 scenario with variable outcomes,Extreme
081,Abnormal Port Access Variant 2 Variant 2 Variant 1,Partial Data,High,20-45,No,No,Simulates Abnormal Port Access Variant 2 Variant 2 Variant 1 scenario with variable outcomes,Basic
082,Multi-CVE Vendor Variant 3,Escalation Required,High,15-30,,No,Simulates Multi-CVE Vendor Variant 3 scenario with variable outcomes,Extreme
083,Missing Contact Info Variant 1,Escalation Required,High,15-30,Pending,Yes,Simulates Missing Contact Info Variant 1 scenario with variable outcomes,Basic
084,Abnormal Port Access Variant 3,Normal,High,15-30,,Unknown,Simulates Abnormal Port Access Variant 3 scenario with variable outcomes,Extreme
085,Risk Spike Detected Variant 2,Normal,Low,30-60,No,,Simulates Risk Spike Detected Variant 2 scenario with variable outcomes,Advanced
086,Extra Fields Present Variant 3 Variant 3 Variant 3,Special Context,Low,20-45,Yes,,Simulates Extra Fields Present Variant 3 Variant 3 Variant 3 scenario with variable outcomes,Advanced
087,Email Bounce Variant 1 Variant 1 Variant 2,Escalation Required,Critical,20-45,No,No,Simulates Email Bounce Variant 1 Variant 1 Variant 2 scenario with variable outcomes,Basic
088,Formatting Chaos Variant 2,Normal,Medium,10-20,,Unknown,Simulates Formatting Chaos Variant 2 scenario with variable outcomes,Advanced
089,Inactive Vendor Variant 2 Variant 3,Duplicate Entry,High,15-30,No,,Simulates Inactive Vendor Variant 2 Variant 3 scenario with variable outcomes,Advanced
090,Same Day CVE Flood Variant 3 Variant 2,Partial Data,Medium,15-30,Pending,,Simulates Same Day CVE Flood Variant 3 Variant 2 scenario with variable outcomes,Moderate
091,Long Exposure Duration Variant 1,Format Error,Medium,15-30,No,,Simulates Long Exposure Duration Variant 1 scenario with variable outcomes,Moderate
092,Long Exposure Duration Variant 1 Variant 3,Duplicate Entry,Low,5-10,,No,Simulates Long Exposure Duration Variant 1 Variant 3 scenario with variable outcomes,Extreme
093,Abnormal Port Access Variant 1,Normal,High,5-10,Yes,Unknown,Simulates Abnormal Port Access Variant 1 scenario with variable outcomes,Advanced
094,Email Bounce Variant 1 Variant 1 Variant 2 Variant 2,Normal,Low,10-20,Yes,No,Simulates Email Bounce Variant 1 Variant 1 Variant 2 Variant 2 scenario with variable outcomes,Extreme
095,Risk Spike Detected Variant 2 Variant 1,Format Error,Critical,20-45,No,,Simulates Risk Spike Detected Variant 2 Variant 1 scenario with variable outcomes,Moderate
096,Backdoor Vendor Variant 2,Duplicate Entry,Critical,5-10,Pending,No,Simulates Backdoor Vendor Variant 2 scenario with variable outcomes,Basic
097,VPN Exposure Variant 3,Special Context,Low,10-20,Pending,Yes,Simulates VPN Exposure Variant 3 scenario with variable outcomes,Advanced
098,Non-English Report Variant 2,Duplicate Entry,Critical,15-30,Pending,Yes,Simulates Non-English Report Variant 2 scenario with variable outcomes,Advanced
099,Manual Process Delay Variant 3,Possible Noise,Low,5-10,Yes,Yes,Simulates Manual Process Delay Variant 3 scenario with variable outcomes,Moderate
100,Multi-Region Vendor Variant 1,Format Error,Critical,5-10,,Unknown,Simulates Multi-Region Vendor Variant 1 scenario with variable outcomes,Extreme
